Statistical profiling result from isolate-0xb2d6000-123903-v8.log, (183041 ticks, 9382 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1003352
      2    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:267689
      2    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:186301
      2    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:175537
      2    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/build/webpack/plugins/optional-peer-dependency-resolve-plugin.js:15:65
      2    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/build/webpack/plugins/flight-client-entry-plugin.js:664:20
      2    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/build/webpack/plugins/flight-client-entry-plugin.js:497:91
      2    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/build/webpack/plugins/flight-client-entry-plugin.js:184:54
      2    0.0%    0.0%  JS: +$.parseImportDefaultSpecifier /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:38856
      2    0.0%    0.0%  JS: +$.parseExportSpecifiers /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:37942
      2    0.0%    0.0%  JS: +$.parseClassElement /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:30257
      2    0.0%    0.0%  JS: +$.parseBreakContinueStatement /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:20407
      2    0.0%    0.0%  JS: *storeOptimizationEntry /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:261534
      2    0.0%    0.0%  JS: *processDependencyForResolving /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:85214
      2    0.0%    0.0%  JS: *processCapturedMissing /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:287246
      2    0.0%    0.0%  JS: *pe.parseSubscripts /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:55112
      2    0.0%    0.0%  JS: *matchPatternOrExact /workspaces/minhAi/node_modules/next/dist/build/webpack/plugins/jsconfig-paths-plugin.js:105:29
      2    0.0%    0.0%  JS: *isCompileTimeValue /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:946485
      2    0.0%    0.0%  JS: *he.overrideContext /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:47442
      2    0.0%    0.0%  JS: *getVariableInfo /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1040226
      2    0.0%    0.0%  JS: *getResourceIdentifier /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:860865
      2    0.0%    0.0%  JS: *getOptions /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:9902
      2    0.0%    0.0%  JS: *getFreeInfoFromVariable /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1041510
      2    0.0%    0.0%  JS: *get /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1389006
      2    0.0%    0.0%  JS: *fn /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1196779
      2    0.0%    0.0%  JS: *dirname node:path:1441:10
      2    0.0%    0.0%  JS: *defaultResolve /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:424435
      2    0.0%    0.0%  JS: *asBool /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:947059
      2    0.0%    0.0%  JS: *_next1 :6:16
      2    0.0%    0.0%  JS: *Y.isContextual /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:14878
      2    0.0%    0.0%  JS: *We.readToken_lt_gt /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:107532
      2    0.0%    0.0%  JS: *Module /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:341396
      2    0.0%    0.0%  JS: *HarmonyImportDependency /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:818305
      2    0.0%    0.0%  JS: *<anonymous> node:internal/fs/utils:397:38
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:994581
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:987596
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:986284
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:88537
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:825841
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:574500
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:426231
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:417313
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:266649
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:15962
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1134748
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1042670
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1032607
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:186301
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:186276
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/neo-async/async.js:1:9911
      2    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/build/webpack/plugins/optional-peer-dependency-resolve-plugin.js:15:65
      2    0.0%    0.0%  JS: *$.isAsyncFunction /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:18060
      2    0.0%    0.0%  Builtin: WeakMapPrototypeSet
      2    0.0%    0.0%  Builtin: WeakMapConstructor
      2    0.0%    0.0%  Builtin: TypedArrayPrototypeLength
      2    0.0%    0.0%  Builtin: StringPrototypeCharAt
      2    0.0%    0.0%  Builtin: StoreICBaseline
      2    0.0%    0.0%  Builtin: StoreFastElementIC_InBounds
      2    0.0%    0.0%  Builtin: SetPrototypeValues
      2    0.0%    0.0%  Builtin: SetPrototypeHas
      2    0.0%    0.0%  Builtin: SetPrototypeGetSize
      2    0.0%    0.0%  Builtin: ReflectApply
      2    0.0%    0.0%  Builtin: PromiseResolveThenableJob
      2    0.0%    0.0%  Builtin: ObjectHasOwn
      2    0.0%    0.0%  Builtin: ObjectCreate
      2    0.0%    0.0%  Builtin: ObjectAssign
      2    0.0%    0.0%  Builtin: NumberToString
      2    0.0%    0.0%  Builtin: LessThan_Baseline
      2    0.0%    0.0%  Builtin: LessThanOrEqual_Baseline
      2    0.0%    0.0%  Builtin: KeyedLoadICBaseline
      2    0.0%    0.0%  Builtin: IterableToListWithSymbolLookup
      2    0.0%    0.0%  Builtin: IterableToList
      2    0.0%    0.0%  Builtin: InterpreterEnterAtBytecode
      2    0.0%    0.0%  Builtin: InstanceOf_Baseline
      2    0.0%    0.0%  Builtin: GreaterThan_Baseline
      2    0.0%    0.0%  Builtin: GreaterThanOrEqual_WithFeedback
      2    0.0%    0.0%  Builtin: FunctionPrototypeHasInstance
      2    0.0%    0.0%  Builtin: DefineNamedOwnIC_NoFeedback
      2    0.0%    0.0%  Builtin: CreateShallowArrayLiteral
      2    0.0%    0.0%  Builtin: CreateRegExpLiteral
      2    0.0%    0.0%  Builtin: CreateObjectWithoutProperties
      2    0.0%    0.0%  Builtin: CreateObjectFromSlowBoilerplateHelper
      2    0.0%    0.0%  Builtin: CreateEmptyArrayLiteral
      2    0.0%    0.0%  Builtin: CloneFastJSArrayFillingHoles
      2    0.0%    0.0%  Builtin: CallFunctionTemplate_Generic
      2    0.0%    0.0%  Builtin: BitwiseOr_WithFeedback
      2    0.0%    0.0%  Builtin: BitwiseNot_Baseline
      2    0.0%    0.0%  Builtin: AsyncFunctionAwaitResolveClosure
      2    0.0%    0.0%  Builtin: ArrayReduce
      2    0.0%    0.0%  Builtin: ArrayPrototypeValues
      2    0.0%    0.0%  Builtin: ArrayPrototypeConcat
      2    0.0%    0.0%  Builtin: ArrayIndexOfSmi
      2    0.0%    0.0%  Builtin: ArrayFrom
      2    0.0%    0.0%  Builtin: ArrayFilter
      2    0.0%    0.0%  Builtin: ArrayEvery
      2    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame0
      1    0.0%    0.0%  RegExp: next[\\/]dist[\\/]compiled[\\/]client-only[\\/]error {1}
      1    0.0%    0.0%  RegExp: next[\\/]dist[\\/]compiled[\\/]client-only[\\/]error
      1    0.0%    0.0%  RegExp: next[\\/]dist[\\/](esm[\\/])?server[\\/]app-render[\\/](work-async-storage|action-async-storage|dynamic-access-async-storage|work-unit-async-storage) {1}
      1    0.0%    0.0%  RegExp: next[\\/]dist[\\/](esm[\\/])?pages
      1    0.0%    0.0%  RegExp: next[/\\]dist(([/\\]esm)?[/\\]).*(\.external(\.js)?)$
      1    0.0%    0.0%  RegExp: ^server-only$ {1}
      1    0.0%    0.0%  RegExp: ^server-only$
      1    0.0%    0.0%  RegExp: ^next[\\/]dist[\\/]shared[\\/]lib[\\/]image-loader
      1    0.0%    0.0%  RegExp: ^client-only$ {1}
      1    0.0%    0.0%  RegExp: ^client-only$
      1    0.0%    0.0%  RegExp: ^\[?((?:(?:(?:(?:[0-9A-Fa-f]{1,4})\:){6}(?:(?:(?:[0-9A-Fa-f]{1,4})\:(?:[0-9A-Fa-f]{1,4}))|(?:(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9]))))|(?:\:\:(?:(?:[0-9A-Fa-f]{1,4})\:){5}(?:(?:(?:[0-9A-Fa-f]{1,4})\:(?:[0-9A-Fa-f]{1,4}))|(?:(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9]))))|(?:(?:(?:[0-9A-Fa-f]{1,4}))?\:\:(?:(?:[0-9A-Fa-f]{1,4})\:){4}(?:(?:(?:[0-9A-Fa-f]{1,4})\:(?:[0-9A-Fa-f]{1,4}))|(?:(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9]))))|(?:(?:(?:(?:[0-9A-Fa-f]{1,4})\:){0,1}(?:[0-9A-Fa-f]{1,4}))?\:\:(?:(?:[0-9A-Fa-f]{1,4})\:){3}(?:(?:(?:[0-9A-Fa-f]{1,4})\:(?:[0-9A-Fa-f]{1,4}))|(?:(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9]))))|(?:(?:(?:(?:[0-9A-Fa-f]{1,4})\:){0,2}(?:[0-9A-Fa-f]{1,4}))?\:\:(?:(?:[0-9A-Fa-f]{1,4})\:){2}(?:(?:(?:[0-9A-Fa-f]{1,4})\:(?:[0-9A-Fa-f]{1,4}))|(?:(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9]))))|(?:(?:(?:(?:[0-9A-Fa-f]{1,4})\:){0,3}(?:[0-9A-Fa-f]{1,4}))?\:\:(?:[0-9A-Fa-f]{1,4})\:(?:(?:(?:[0-9A-Fa-f]{1,4})\:(?:[0-9A-Fa-f]{1,4}))|(?:(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9]))))|(?:(?:(?:(?:[0-9A-Fa-f]{1,4})\:){0,4}(?:[0-9A-Fa-f]{1,4}))?\:\:(?:(?:(?:[0-9A-Fa-f]{1,4})\:(?:[0-9A-Fa-f]{1,4}))|(?:(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9])\.(?:(?:25[0-5])|(?:2[0-4][0-9])|(?:1[0-9][0-9])|(?:0?[1-9][0-9])|0?0?[0-9]))))|(?:(?:(?:(?:[0-9A-Fa-f]{1,4})\:){0,5}(?:[0-9A-Fa-f]{1,4}))?\:\:(?:[0-9A-Fa-f]{1,4}))|(?:(?:(?:(?:[0-9A-Fa-f]{1,4})\:){0,6}(?:[0-9A-Fa-f]{1,4}))?\:\:)))(?:(?:\%25|\%(?![0-9A-Fa-f]{2}))((?:(?:[A-Za-z0-9\-\.\_\~\xA0-\u200D\u2010-\u2029\u202F-\uD7FF\uF900-\uFDCF\uFDF0-\uFFEF]|(?:(?:%[EFef][0-9A-Fa-f]%[0-9A-Fa-f][0-9A-Fa-f]%[0-9A-Fa-f][0-9A-Fa-f])|(?:%[89A-Fa-f][0-9A-Fa-f]%[0-9A-Fa-f][0-9A-Fa-f])|(?:%[0-9A-Fa-f][0-9A-Fa-f])))+)))?\]?$
      1    0.0%    0.0%  RegExp: ^\.\/locale$ {1}
      1    0.0%    0.0%  RegExp: ^\.\/locale$
      1    0.0%    0.0%  RegExp: ^\.\.?($|[\\/])
      1    0.0%    0.0%  RegExp: ^(asset|webassembly)\b
      1    0.0%    0.0%  RegExp: ^([^]*)export (const|var) __next_private_directive_list__ = '([^']+)'
      1    0.0%    0.0%  RegExp: ^([^!]+)!=! {1}
      1    0.0%    0.0%  RegExp: ^(?:private-next-pages\/|next\/(?:dist\/pages\/|(?:app|cache|document|link|form|head|image|legacy\/image|constants|dynamic|script|navigation|headers|router|compat\/router|server)$)|string-hash|private-next-rsc-action-validate|private-next-rsc-action-client-wrapper|private-next-rsc-server-reference|private-next-rsc-cache-wrapper|private-next-rsc-track-dynamic-import$)
      1    0.0%    0.0%  RegExp: ^(?:enum|implements|interface|let|package|private|protected|public|static|yield|eval|arguments)$
      1    0.0%    0.0%  RegExp: ^(?:enum|implements|interface|let|package|private|protected|public|static|yield)$
      1    0.0%    0.0%  RegExp: ^(.+?[\\/]node_modules[\\/]) {1}
      1    0.0%    0.0%  RegExp: ^((?:\0.|[^?#\0])*)(\?(?:\0.|[^#\0])*)?(#.*)?$ {1}
      1    0.0%    0.0%  RegExp: ^($|\?) {1}
      1    0.0%    0.0%  RegExp: ^($|\?)
      1    0.0%    0.0%  RegExp: \.module\.(scss|sass)$
      1    0.0%    0.0%  RegExp: \.mjs$
      1    0.0%    0.0%  RegExp: \.m?js
      1    0.0%    0.0%  RegExp: \.json$ {1}
      1    0.0%    0.0%  RegExp: \.json$
      1    0.0%    0.0%  RegExp: \.js$
      1    0.0%    0.0%  RegExp: \.(tsx|ts|js|cjs|mjs|jsx)$ {1}
      1    0.0%    0.0%  RegExp: [\\/]node_modules[\\/]process[\\/]browser
      1    0.0%    0.0%  RegExp: [/\\]node_modules[/\\](@alinea[/\\]generated|@appsignal[/\\]nodejs|@aws-sdk[/\\]client-s3|@aws-sdk[/\\]s3-presigned-post|@blockfrost[/\\]blockfrost-js|@highlight-run[/\\]node|@huggingface[/\\]transformers|@jpg-store[/\\]lucid-cardano|@libsql[/\\]client|@mikro-orm[/\\]core|@mikro-orm[/\\]knex|@node-rs[/\\]argon2|@node-rs[/\\]bcrypt|@prisma[/\\]client|@react-pdf[/\\]renderer|@sentry[/\\]profiling-node|@sparticuz[/\\]chromium|@sparticuz[/\\]chromium-min|@statsig[/\\]statsig-node-core|@swc[/\\]core|@xenova[/\\]transformers|@zenstackhq[/\\]runtime|argon2|autoprefixer|aws-crt|bcrypt|better-sqlite3|canvas|chromadb-default-embed|config|cpu-features|cypress|dd-trace|eslint|express|firebase-admin|htmlrewriter|import-in-the-middle|isolated-vm|jest|jsdom|keyv|libsql|mdx-bundler|mongodb|mongoose|newrelic|next-mdx-remote|next-seo|node-cron|node-pty|node-web-audio-api|onnxruntime-node|oslo|pg|pino|pino-pretty|pino-roll|playwright|playwright-core|postcss|prettier|prisma|puppeteer|puppeteer-core|ravendb|require-in-the-middle|rimraf|sharp|shiki|sqlite3|thread-stream|ts-morph|ts-node|typescript|vscode-oniguruma|webpack|websocket|zeromq|@jspawn[/\\]ghostscript-wasm|sharp)[/\\]
      1    0.0%    0.0%  RegExp: (?:\s|\/\/.*|\/\*[^]*?\*\/)* {1}
      1    0.0%    0.0%  RegExp: (?:\s|\/\/.*|\/\*[^]*?\*\/)*
      1    0.0%    0.0%  RegExp: '|\\
      1    0.0%    0.0%  JS: ~webpackConfig.plugins._memorywithgccacheplugin.MemoryWithGcCachePlugin.maxGenerations /workspaces/minhAi/node_modules/next/dist/build/webpack-config.js:1597:108
      1    0.0%    0.0%  JS: ~v.exports.getLocalModule /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:859055
      1    0.0%    0.0%  JS: ~translatePeerCertificate node:internal/tls/common:121:34
      1    0.0%    0.0%  JS: ~transformSource /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/next-flight-client-entry-loader.js:14:25
      1    0.0%    0.0%  JS: ~toHexString /workspaces/minhAi/node_modules/next/dist/compiled/image-size/index.js:1:15740
      1    0.0%    0.0%  JS: ~request node:https:612:17
      1    0.0%    0.0%  JS: ~pe.parseSubscripts /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:55112
      1    0.0%    0.0%  JS: ~pathComponents /workspaces/minhAi/node_modules/typescript/lib/typescript.js:8829:24
      1    0.0%    0.0%  JS: ~parseObjectLiteralElement /workspaces/minhAi/node_modules/typescript/lib/typescript.js:37125:37
      1    0.0%    0.0%  JS: ~lookup node:dns:143:16
      1    0.0%    0.0%  JS: ~loadConfig /workspaces/minhAi/node_modules/next/dist/server/config.js:1079:26
      1    0.0%    0.0%  JS: ~isX /workspaces/minhAi/node_modules/next/dist/compiled/semver/index.js:1:4244
      1    0.0%    0.0%  JS: ~interpolateName /workspaces/minhAi/node_modules/next/dist/compiled/loader-utils3/index.js:1:17081
      1    0.0%    0.0%  JS: ~he.overrideContext /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:47442
      1    0.0%    0.0%  JS: ~getScheme /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1392673
      1    0.0%    0.0%  JS: ~getRelativePath /workspaces/minhAi/node_modules/next/dist/server/lib/router-utils/route-types-utils.js:132:29
      1    0.0%    0.0%  JS: ~getOutgoingConnections /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:363662
      1    0.0%    0.0%  JS: ~getHashValues /workspaces/minhAi/node_modules/next/dist/shared/lib/bloom-filter.js:75:18
      1    0.0%    0.0%  JS: ~get store /workspaces/minhAi/node_modules/next/dist/compiled/conf/index.js:1:108667
      1    0.0%    0.0%  JS: ~formatFamily /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/next-font-loader/postcss-next-font.js:40:34
      1    0.0%    0.0%  JS: ~decl /workspaces/minhAi/node_modules/next/node_modules/postcss/lib/parser.js:196:7
      1    0.0%    0.0%  JS: ~createRouteTypesManifest /workspaces/minhAi/node_modules/next/dist/server/lib/router-utils/route-types-utils.js:130:40
      1    0.0%    0.0%  JS: ~createRecurry /workspaces/minhAi/node_modules/next/dist/compiled/lodash.curry/index.js:1:5071
      1    0.0%    0.0%  JS: ~createPropertyAssignment /workspaces/minhAi/node_modules/typescript/lib/typescript.js:28174:36
      1    0.0%    0.0%  JS: ~compareRouteSegments /workspaces/minhAi/node_modules/next/dist/shared/lib/router/utils/sortable-routes.js:61:30
      1    0.0%    0.0%  JS: ~clearBuffer node:internal/streams/writable:742:21
      1    0.0%    0.0%  JS: ~checkServerIdentity node:tls:399:59
      1    0.0%    0.0%  JS: ~blockPreWalkExportNamedDeclaration /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1014651
      1    0.0%    0.0%  JS: ~_parseResourceWithoutFragment /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1440475
      1    0.0%    0.0%  JS: ~_parse /workspaces/minhAi/node_modules/next/dist/compiled/zod/index.cjs:1:67233
      1    0.0%    0.0%  JS: ~_inheritsLoose /workspaces/minhAi/node_modules/postcss-selector-parser/dist/selectors/attribute.js:14:24
      1    0.0%    0.0%  JS: ~RequireResolveHeaderDependency /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:878168
      1    0.0%    0.0%  JS: ~Readable.removeListener node:internal/streams/readable:1166:45
      1    0.0%    0.0%  JS: ~<anonymous> :1:20
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/trace/report/to-json.js:118:25
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:795276
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:789872
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:287452
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:284805
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:199554
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:164892
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack-sources3/index.js:1:10
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/postcss-modules-local-by-default/index.js:2:2499
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/async-sema/index.js:1:2
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/utils.js:1:1
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/next/dist/bin/next:1:1
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/caniuse-lite/dist/unpacker/agents.js:20:50
      1    0.0%    0.0%  JS: ~<anonymous> /workspaces/minhAi/node_modules/baseline-browser-mapping/dist/index.cjs:1:107489
      1    0.0%    0.0%  JS: ~326 /workspaces/minhAi/node_modules/next/dist/compiled/edge-runtime/index.js:1:520108
      1    0.0%    0.0%  JS: ~135 /workspaces/minhAi/node_modules/next/dist/compiled/@hapi/accept/index.js:1:23032
      1    0.0%    0.0%  JS: wasm-function[0]
      1    0.0%    0.0%  JS: ^writeGeneric node:internal/stream_base_commons:146:22
      1    0.0%    0.0%  JS: ^walkStatement /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1007410
      1    0.0%    0.0%  JS: ^walkAssignmentExpression /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1024449
      1    0.0%    0.0%  JS: ^walkArrayPattern /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1020005
      1    0.0%    0.0%  JS: ^v.exports.enable /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:781475
      1    0.0%    0.0%  JS: ^v.exports.compareLocations /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1407252
      1    0.0%    0.0%  JS: ^transformSource /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/next-flight-loader/index.js:58:25
      1    0.0%    0.0%  JS: ^transformSource /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/next-flight-client-module-loader.js:13:58
      1    0.0%    0.0%  JS: ^spliceOne node:internal/util:556:19
      1    0.0%    0.0%  JS: ^shouldColorize node:internal/util/colors:18:17
      1    0.0%    0.0%  JS: ^setHasStartedUserCJSExecution node:internal/modules/helpers:481:32
      1    0.0%    0.0%  JS: ^resolver /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/next-app-loader/index.js:638:22
      1    0.0%    0.0%  JS: ^resolveWithAlias /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:165058
