Statistical profiling result from isolate-0xb2d6000-123903-v8.log, (183041 ticks, 9382 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     38    0.0%    0.0%  JS: *walkBlockStatement /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1008836
     36    0.0%    0.0%  JS: *walkObjectExpression /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1021986
     36    0.0%    0.0%  JS: *pe.parseExprList /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:71197
     36    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:187242
     35    0.0%    0.0%  Builtin: KeyedHasIC_Megamorphic
     34    0.0%    0.0%  JS: *walkStatement /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1007410
     34    0.0%    0.0%  JS: *pe.parseProperty /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:66220
     34    0.0%    0.0%  JS: *fn /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1196581
     34    0.0%    0.0%  Builtin: DefineNamedOwnIC
     33    0.0%    0.0%  Builtin: SetDataProperties
     33    0.0%    0.0%  Builtin: KeyedStoreIC_Megamorphic
     33    0.0%    0.0%  Builtin: JSBuiltinsConstructStub
     32    0.0%    0.0%  RegExp: \r\n?|\n|\u2028|\u2029
     32    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:176270
     32    0.0%    0.0%  Builtin: SubString
     32    0.0%    0.0%  Builtin: GetProperty
     31    0.0%    0.0%  JS: +<anonymous> :1:20
     31    0.0%    0.0%  JS: *Node /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:76050
     31    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:175458
     30    0.0%    0.0%  Builtin: ToBooleanForBaselineJump
     30    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
     29    0.0%    0.0%  RegExp: \/\* __next_internal_action_entry_do_not_use__ (\{[^}]+\}) \*\/ {1}
     29    0.0%    0.0%  Builtin: StringPrototypeReplace
     28    0.0%    0.0%  RegExp: next\/font|next\/dynamic|use server|use client|use cache
     28    0.0%    0.0%  JS: *nextTick node:internal/process/task_queues:112:18
     28    0.0%    0.0%  JS: *NextBarrelLoader /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/next-barrel-loader.js:195:40
     27    0.0%    0.0%  JS: +<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:421630
     27    0.0%    0.0%  JS: *<anonymous> :8:40
     27    0.0%    0.0%  Builtin: KeyedStoreIC
     26    0.0%    0.0%  JS: *pe.parseObj /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:65835
     26    0.0%    0.0%  JS: *<anonymous> :22:40
     26    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/build/handle-externals.js:47:30
     26    0.0%    0.0%  Builtin: Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
     26    0.0%    0.0%  Builtin: ArrayTimSort
     26    0.0%    0.0%  Builtin: ArrayIndexOfSmiOrObject
     25    0.0%    0.0%  JS: *fn /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1195417
     25    0.0%    0.0%  Builtin: BaselineLeaveFrame
     24    0.0%    0.0%  RegExp: \/\* __next_internal_action_entry_do_not_use__ (\{[^}]+\}) \*\/
     24    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:575016
     24    0.0%    0.0%  Builtin: RegExpSplit
     24    0.0%    0.0%  Builtin: JSConstructStubGeneric
     23    0.0%    0.0%  JS: *resolve /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:191146
     23    0.0%    0.0%  JS: *preWalkStatement /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1005756
     23    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:180803
     23    0.0%    0.0%  Builtin: RunMicrotasks
     22    0.0%    0.0%  RegExp: ^(?:enum|await|implements|interface|let|package|private|protected|public|static|yield)$
     22    0.0%    0.0%  JS: *me.startNode /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:76293
     22    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:174568
     21    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:175537
     21    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:174131
     21    0.0%    0.0%  Builtin: LoadIC_NoFeedback
     21    0.0%    0.0%  Builtin: LoadGlobalIC
     21    0.0%    0.0%  Builtin: KeyedLoadICTrampoline_Megamorphic
     21    0.0%    0.0%  Builtin: FastNewObject
     20    0.0%    0.0%  RegExp: \/\* __next_internal_client_entry_do_not_use__ ([^ ]*) (cjs|auto) \*\/ {1}
     20    0.0%    0.0%  RegExp: (.*?[\\/]+)
     20    0.0%    0.0%  JS: +resolveExternal /workspaces/minhAi/node_modules/next/dist/build/handle-externals.js:49:31
     20    0.0%    0.0%  JS: *We.skipBlockComment /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:104309
     20    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:165922
     19    0.0%    0.0%  JS: +NextBarrelLoader /workspaces/minhAi/node_modules/next/dist/build/webpack/loaders/next-barrel-loader.js:195:40
     19    0.0%    0.0%  JS: *next /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:252828
     19    0.0%    0.0%  JS: *getManagedItem /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:264125
     19    0.0%    0.0%  JS: *evaluateExpression /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1034190
     19    0.0%    0.0%  JS: *createSnapshot /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:282765
     19    0.0%    0.0%  JS: *We.skipLineComment /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:104755
     19    0.0%    0.0%  Builtin: WeakMapGet
     19    0.0%    0.0%  Builtin: KeyedLoadIC
     18    0.0%    0.0%  JS: *m.name.updateContext /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:49005
     18    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:988716
     18    0.0%    0.0%  JS: *$.parseBlock /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:26585
     18    0.0%    0.0%  Builtin: StrictEqual
     18    0.0%    0.0%  Builtin: ResumeGeneratorTrampoline
     18    0.0%    0.0%  Builtin: RecordWriteIgnoreFP
     18    0.0%    0.0%  Builtin: CreateShallowObjectLiteral
     18    0.0%    0.0%  Builtin: CEntry_Return1_ArgvOnStack_NoBuiltinExit
     17    0.0%    0.0%  JS: *fn /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1195173
     17    0.0%    0.0%  JS: *$.parseVar /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:27772
     17    0.0%    0.0%  Builtin: ToString
     17    0.0%    0.0%  Builtin: MapConstructor
     16    0.0%    0.0%  RegExp: ^(.+?[\\/]node_modules[\\/])
     16    0.0%    0.0%  JS: *enterPattern /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1033237
     16    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:205057
     16    0.0%    0.0%  JS: *<anonymous> /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:1:168355
     16    0.0%    0.0%  JS: *$.parseStatement /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:18415
     16    0.0%    0.0%  Builtin: CopyDataProperties
     16    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined_Baseline_Compact
     15    0.0%    0.0%  JS: *me.startNodeAt /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:76365
     15    0.0%    0.0%  Builtin: LoadICBaseline
     15    0.0%    0.0%  Builtin: FulfillPromise
     15    0.0%    0.0%  Builtin: FastNewFunctionContextFunction
     15    0.0%    0.0%  Builtin: Construct
     15    0.0%    0.0%  Builtin: CallVarargs
     14    0.0%    0.0%  JS: +walkCallExpression /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1027610
     14    0.0%    0.0%  JS: *_preWalkVariableDeclaration /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1016875
     14    0.0%    0.0%  JS: *We.readToken_dot /workspaces/minhAi/node_modules/next/dist/compiled/acorn/acorn.js:1:105819
     14    0.0%    0.0%  Builtin: AsyncFunctionEnter
     13    0.0%    0.0%  JS: *walkMemberExpression /workspaces/minhAi/node_modules/next/dist/compiled/webpack/bundle5.js:29:1029030
